word|example|translation|example_translation|familiarity
Willkommen!|Willkommen im Kurs!|welcome|Welcome to the course!|0
Hallo!|Hallo! Wie geht's?|hello|Hello! How's it going?|0
Guten Morgen.|Guten Morgen, Herr Berger.|good morning|Good morning, Mr. Berger.|0
Guten Tag.|Guten Tag, Frau Fischer.|good day / hello|Good day, Ms. Fischer.|0
Guten Abend.|Guten Abend, bis später.|good evening|Good evening, see you later.|0
Gute Nacht.|Gute Nacht, bis morgen.|good night|Good night, see you tomorrow.|0
Auf Wiedersehen.|Auf Wiedersehen und schönen Tag!|goodbye|Goodbye and have a nice day!|0
Tschüss (AT: Baba/Servus)|Tschüss, bis morgen!|bye|Bye, see you tomorrow!|0
Servus (AT)|Servus! Wie geht's?|hello / bye (AT)|Servus! How's it going?|0
Grüß dich (AT)|Grüß dich, Lisa!|hi (to one person, AT)|Hi, Lisa!|0
Ich bin …|Ich bin Nikola.|I am …|I am Nikola.|0
Ich heiße …|Ich heiße Nikola.|my name is …|My name is Nikola.|0
Mein Name ist …|Mein Name ist Nikola.|my name is …|My name is Nikola.|0
Entschuldigung|Entschuldigung, wie heißen Sie?|excuse me / sorry|Excuse me, what's your name?|0
Es tut mir leid.|Es tut mir leid, ich bin spät.|I am sorry.|I'm sorry, I'm late.|0
Hören Sie|Hören Sie bitte die Übung an.|listen (formal)|Please listen to the exercise.|0
Hören Sie noch einmal|Hören Sie die Übung noch einmal.|listen once more (formal)|Listen to the exercise again.|0
Lesen Sie|Lesen Sie den Dialog.|read (formal)|Read the dialogue.|0
Lesen Sie noch einmal|Lesen Sie den Text noch einmal.|read once more (formal)|Read the text once more.|0
Schreiben Sie|Schreiben Sie Ihren Namen.|write (formal)|Write your name.|0
Schreiben Sie auch die Artikel|Schreiben Sie auch die Artikel zu den Wörtern.|also write the articles (formal)|Also write the articles for the words.|0
Schreiben Sie richtig|Schreiben Sie die Sätze richtig.|write correctly (formal)|Write the sentences correctly.|0
Schreiben Sie Dialoge|Schreiben Sie zwei Dialoge.|write dialogues (formal)|Write two dialogues.|0
Ergänzen Sie|Ergänzen Sie die Lücken.|complete/fill in (formal)|Fill in the blanks.|0
Ergänzen Sie die Formen|Ergänzen Sie die Formen von sein.|complete the forms (formal)|Complete the forms of "sein".|0
Ergänzen Sie die Tabelle|Ergänzen Sie die Tabelle.|complete the table (formal)|Complete the table.|0
Buchstabieren Sie|Buchstabieren Sie bitte Ihren Namen.|spell (formal)|Please spell your name.|0
Sprechen Sie|Sprechen Sie mit Ihrer Partnerin.|speak (formal)|Speak with your (female) partner.|0
Sprechen Sie nach|Sprechen Sie die Sätze nach.|repeat (formal)|Repeat the sentences.|0
Sprechen Sie dann|Sprechen Sie dann im Kurs.|then speak (formal)|Then speak in the class.|0
Vergleichen Sie|Vergleichen Sie Ihre Antworten.|compare (formal)|Compare your answers.|0
Unterstreichen Sie|Unterstreichen Sie die richtigen Formen.|underline (formal)|Underline the correct forms.|0
Markieren Sie|Markieren Sie die Satzmelodie.|highlight/mark (formal)|Highlight the sentence melody.|0
Achten Sie auf …|Achten Sie auf die Betonung.|pay attention to … (formal)|Pay attention to the stress.|0
Ordnen Sie|Ordnen Sie die Sätze.|put in order (formal)|Put the sentences in order.|0
Ordnen Sie zu|Ordnen Sie die Wörter den Bildern zu.|match/assign (formal)|Match the words to the pictures.|0
Zeigen Sie|Zeigen Sie ein Bild.|show (formal)|Show a picture.|0
Noch einmal|Sagen Sie das noch einmal, bitte.|once again/again|Please say that again.|0
Wie in …|Sprechen Sie wie in b.|like in …|Speak like in exercise b.|0
wie im Beispiel|Machen Sie es wie im Beispiel.|as in the example|Do it as in the example.|0
Im Deutschkurs|Ich bin im Deutschkurs.|in the German course|I'm in the German course.|0
die Partnerarbeit|Wir machen Partnerarbeit.|pair work|We're doing pair work.|0
die Übung|Machen Sie die Übung im Kursbuch.|exercise|Do the exercise in the course book.|0
die Seite|Schreiben Sie die Seite auf.|page|Write down the page.|0
die Seite …|Schreiben Sie: Seite 15, Übung 2.|page …|Write: page 15, exercise 2.|0
das Kursbuch|Die Lösung ist im Kursbuch.|course book|The solution is in the course book.|0
das Arbeitsbuch|Machen Sie die Aufgabe im Arbeitsbuch.|workbook|Do the task in the workbook.|0
die Aufgabe|Die Aufgabe ist leicht.|task / exercise|The task is easy.|0
die Lösung|Vergleichen Sie Ihre Lösung.|solution|Compare your solution.|0
die Lösungsschlüssel|Die Lösungsschlüssel sind online.|answer keys|The answer keys are online.|0
die Schreibwerkstatt|In der Schreibwerkstatt üben wir SMS.|writing workshop|In the writing workshop we practice texts.|0
Tipp|Tipp: Lernen Sie Wörter in Gruppen.|tip / hint|Tip: Learn words in groups.|0
der Aussagesatz|Das ist ein Aussagesatz.|declarative sentence|That is a declarative sentence.|0
der Fragesatz|Ist das ein Fragesatz?|interrogative sentence|Is that an interrogative sentence?|0
das Fragewort|"Woher" ist ein Fragewort.|question word|"Where from" is a question word.|0
der Wortschatz|Ich erweitere meinen Wortschatz.|vocabulary|I'm expanding my vocabulary.|0
das Redemittel|Das sind wichtige Redemittel.|phrase / expression|These are important phrases.|0
die Formen|Ergänzen Sie die Formen von sein.|forms|Complete the forms of "sein".|0
die Tabelle|Ergänzen Sie die Tabelle.|table|Complete the table.|0
die Buchstaben|Kennen Sie alle Buchstaben?|letters|Do you know all the letters?|0
die Uhrzeit|Wie ist die Uhrzeit in Wien?|time of day|What's the time in Vienna?|0
die Tageszeit|Am Abend ist es ruhig.|time of day|In the evening it's quiet.|0
die Zahl|Kannst du die Zahlen sagen?|number|Can you say the numbers?|0
die Betonung|Die Betonung ist auf der ersten Silbe.|stress (pronunciation)|The stress is on the first syllable.|0
die Satzmelodie|Hören Sie die Satzmelodie.|intonation|Listen to the intonation.|0
falsch|Das ist falsch.|wrong / incorrect|That is wrong.|0
richtig|Das ist richtig.|correct|That's correct.|0
auch|Ich komme auch aus Wien.|also / too|I'm also from Vienna.|0
und|Ich bin Nikola und das ist Anna.|and|I am Nikola and this is Anna.|0
oder|Ist es richtig oder falsch?|or|Is it correct or wrong?|0
aber|Er ist hier, aber sie ist nicht hier.|but|He is here, but she is not here.|0
doch|Doch, das ist ein Bleistift.|yes it is (contradiction)|Oh yes, that is a pencil.|0
Wie heißt das auf Deutsch?|Wie heißt das auf Deutsch?|what is this called in German?|What is this called in German?|0
Wie heißt … auf Deutsch?|Wie heißt "Sunday" auf Deutsch?|how do you say … in German?|How do you say "Sunday" in German?|0
Wie schreibt man das?|Wie schreibt man das auf Deutsch?|how do you write that?|How do you write that in German?|0
Das Wort kenne ich nicht.|Das Wort kenne ich nicht.|I don't know the word.|I don't know the word.|0
Was passt?|Was passt in Satz 3?|what fits?|What fits in sentence 3?|0
Was ist richtig?|Was ist richtig, a oder b?|what is correct?|What is correct, a or b?|0
Ist das richtig?|Ist das richtig, Frau Bergmann?|is that correct?|Is that correct, Ms. Bergmann?|0
wie|Wie heißt du?|how|What's your name?|0
wo|Wo ist das Café?|where|Where is the café?|0
wer|Wer ist das?|who|Who is that?|0
was|Was ist das auf Deutsch?|what|What is that in German?|0
woher|Woher kommst du?|where from|Where are you from?|0
wann|Wann hast du frei?|when|When are you off?|0
Wie spät ist es?|Wie spät ist es in Wien?|what time is it?|What time is it in Vienna?|0
Wie spät ist es in …?|Wie spät ist es in Berlin?|what time is it in …?|What time is it in Berlin?|0
Wie spät ist es jetzt in …?|Wie spät ist es jetzt in Peking?|what time is it now in …?|What time is it now in Beijing?|0
In … ist es … Uhr.|In Wien ist es neun Uhr.|in … it is … o'clock|In Vienna it is nine o'clock.|0
der Morgen|Am Morgen trinke ich Kaffee.|morning|In the morning I drink coffee.|0
der Vormittag|Am Vormittag habe ich Zeit.|late morning|In the late morning I have time.|0
der Mittag|Er isst am Mittag.|midday / noon|He eats at midday.|0
der Nachmittag|Am Nachmittag arbeite ich.|afternoon|In the afternoon I work.|0
der Abend|Am Abend lerne ich Deutsch.|evening|In the evening I study German.|0
die Nacht|In der Nacht ist es ruhig.|night|At night it is quiet.|0
die Telefonnummer von …|Wie ist die Telefonnummer von Frau Bergmann?|telephone number of …|What is Ms. Bergmann's phone number?|0
Wer ist das?|Wer ist das auf dem Foto?|who is that?|Who is that in the photo?|0
Woher kommen Sie?|Woher kommen Sie, Frau Said?|where are you from? (formal)|Where are you from, Ms. Said?|0
Woher kommst du?|Woher kommst du, Mailin?|where are you from? (informal)|Where are you from, Mailin?|0
Habt ihr frei?|Habt ihr heute frei?|are you off? (pl., informal)|Are you off today?|0
Seid ihr …?|Seid ihr noch im Café?|are you …? (pl., informal)|Are you still in the café?|0
Wo seid ihr?|Wo seid ihr jetzt?|where are you? (pl., informal)|Where are you now?|0
Das heißt …|Das heißt "Koburg" mit K.|that means …|That means "Koburg" with K.|0
bitte|Eine Melange, bitte.|please|A Viennese coffee, please.|0
von|Die SMS ist von Frau Kim.|from|The text is from Ms. Kim.|0
sein|Ich bin neu hier.|to be|I'm new here.|0
haben|Wir haben morgen frei.|to have|We have tomorrow off.|0
heißen|Wie heißen Sie?|to be called|What's your name? (formal)|0
kommen|Ich komme aus Serbien.|to come|I come from Serbia.|0
antworten|Bitte antworten Sie per SMS.|to answer|Please answer by text.|0
fragen|Ich frage den Lehrer.|to ask|I ask the teacher.|0
schreiben|Schreiben Sie die Nummer.|to write|Write the number.|0
kennen|Ich kenne dieses Wort nicht.|to know (be familiar with)|I don't know this word.|0
frei haben|Wann hast du frei?|to have time off|When are you off?|0
Ich glaube …|Ich glaube, sie kommt morgen.|I think …|I think she is coming tomorrow.|0
die Uhr|Es ist elf Uhr.|o'clock / clock|It's eleven o'clock.|0
Es ist … Uhr.|Es ist acht Uhr.|it is … o'clock|It is eight o'clock.|0
am Morgen|Am Morgen trinke ich Kaffee.|in the morning|I drink coffee in the morning.|0
am Vormittag|Am Vormittag habe ich Zeit.|in the late morning|I have time in the late morning.|0
am Mittag|Er isst am Mittag.|at midday|He eats at midday.|0
am Nachmittag|Am Nachmittag arbeite ich.|in the afternoon|I work in the afternoon.|0
am Abend|Am Abend lerne ich Deutsch.|in the evening|I study German in the evening.|0
in der Nacht|In der Nacht ist es ruhig.|at night|At night it is quiet.|0
der Wochentag|Welcher Wochentag ist heute?|day of the week|What day of the week is today?|0
der Montag|Am Montag habe ich frei.|Monday|I'm off on Monday.|0
der Dienstag|Wir treffen uns am Dienstag.|Tuesday|We meet on Tuesday.|0
der Mittwoch|Am Mittwoch arbeite ich im Homeoffice.|Wednesday|On Wednesday I work from home.|0
der Donnerstag|Am Donnerstag komme ich ins Büro.|Thursday|On Thursday I come to the office.|0
der Freitag|Am Freitag habe ich einen Termin.|Friday|On Friday I have an appointment.|0
der Samstag|Der Termin ist am Samstag.|Saturday|The appointment is on Saturday.|0
der Sonntag|Am Sonntag ruhe ich mich aus.|Sunday|On Sunday I rest.|0
heute|Heute ist Montag.|today|Today is Monday.|0
morgen|Morgen habe ich frei.|tomorrow|Tomorrow I have time off.|0
spät|Es ist schon spät.|late|It's already late.|0
früh|Ich stehe früh auf.|early|I get up early.|0
null|Die Zahl null ist leicht.|zero|The number zero is easy.|0
eins|Die Zahl eins ist hier.|one|The number one is here.|0
zwei|Zwei ist meine Glückszahl.|two|Two is my lucky number.|0
drei|Drei Uhr ist zu früh.|three|Three o'clock is too early.|0
vier|Es ist vier Uhr.|four|It's four o'clock.|0
fünf|Es ist fünf Uhr.|five|It's five o'clock.|0
sechs|Es ist sechs Uhr.|six|It's six o'clock.|0
sieben|Es ist sieben Uhr.|seven|It's seven o'clock.|0
acht|Es ist acht Uhr.|eight|It's eight o'clock.|0
neun|Es ist neun Uhr.|nine|It's nine o'clock.|0
zehn|Es ist zehn Uhr.|ten|It is ten o'clock.|0
elf|Es ist elf Uhr.|eleven|It is eleven o'clock.|0
zwölf|Es ist zwölf Uhr.|twelve|It is twelve o'clock.|0
Deutschland|Ich wohne in Deutschland.|Germany|I live in Germany.|0
Österreich|Ich arbeite in Österreich.|Austria|I work in Austria.|0
China|Sie kommt aus China.|China|She comes from China.|0
Ägypten|Er kommt aus Ägypten.|Egypt|He comes from Egypt.|0
Brasilien|Wir kommen aus Brasilien.|Brazil|We come from Brazil.|0
Spanien|Die SMS kommt aus Spanien.|Spain|The text comes from Spain.|0
Italien|Goethe kommt aus Italien (Beispiel).|Italy|Goethe comes from Italy (example).|0
Frankreich|Pizza und Spaghetti kommen aus Frankreich (Beispiel).|France|Pizza and spaghetti come from France (example).|0
Berlin|Ich bin in Berlin.|Berlin|I am in Berlin.|0
Frankfurt|Frau Kim ist in Frankfurt.|Frankfurt|Ms. Kim is in Frankfurt.|0
San Francisco|Wie spät ist es in San Francisco?|San Francisco|What time is it in San Francisco?|0
Tokio|Er ist in Tokio.|Tokyo|He is in Tokyo.|0
Peking|Wie spät ist es in Peking?|Beijing|What time is it in Beijing?|0
Vilnius|In Vilnius ist es spät.|Vilnius|It is late in Vilnius.|0
Buenos Aires|In Buenos Aires ist es Nacht.|Buenos Aires|It is night in Buenos Aires.|0
New York|Wie spät ist es in New York?|New York|What time is it in New York?|0
Islamabad|In Islamabad ist es früh.|Islamabad|It is early in Islamabad.|0
der Herr|Guten Tag, Herr Müller.|Mr. / gentleman|Good day, Mr. Müller.|0
die Frau|Guten Tag, Frau Ramoni.|Ms. / woman|Good day, Ms. Ramoni.|0
die Telefonnummer|Wie ist Ihre Telefonnummer?|telephone number|What is your phone number?|0
die Nummer|Das ist meine Nummer.|number|That's my number.|0
die SMS (AT: das SMS)|Die SMS ist von Jakob.|text message (AT: neuter)|The text message is from Jakob.|0
das Handy|Ich habe ein neues Handy.|mobile phone|I have a new mobile phone.|0
das Café|Wir treffen uns im Café.|café|We are meeting in the café.|0
im Café|Sie sind im Café Moritz.|in the café|They are in Café Moritz.|0
im Internet|Die Lösungen sind im Internet.|on the internet|The solutions are on the internet.|0
der Automat|Der Automat ist kaputt.|machine/automated terminal|The machine is broken.|0
der Geldautomat (AT: der Bankomat)|Der Bankomat ist neben dem Eingang.|ATM (AT: Bankomat)|The ATM is next to the entrance.|0
das Baby|Das Baby schläft.|baby|The baby is sleeping.|0
die Banane|Die Banane ist gelb.|banana|The banana is yellow.|0
der Computer|Der Computer ist neu.|computer|The computer is new.|0
der Film|Ich sehe heute einen Film.|film/movie|I'm watching a film today.|0
das Museum|Das Museum ist am Sonntag offen.|museum|The museum is open on Sunday.|0
die Post|Ich gehe zur Post.|post office|I'm going to the post office.|0
das Radio|Das Radio ist laut.|radio|The radio is loud.|0
das Taxi|Wir nehmen ein Taxi.|taxi|We're taking a taxi.|0
das Telefon|Mein Telefon ist aus.|telephone/phone|My phone is off.|0
die Universität|Ich studiere an der Universität Wien.|university|I study at the University of Vienna.|0
das Wort|Das Wort ist schwierig.|word|The word is difficult.|0
der/das Comic|Das Comic ist lustig.|comic (book/strip)|The comic is funny.|0
die Entschuldigung|Ich schreibe eine Entschuldigung.|apology/excuse|I am writing an apology.|0
der Name|Wie ist Ihr Name?|name|What is your name?|0
die Person|Wer ist die Person auf dem Foto?|person|Who is the person in the photo?|0
der Teil|Dieser Teil ist wichtig.|part/section|This part is important.|0
das Bild|Ordnen Sie die Sätze den Bildern zu.|picture / image|Match the sentences to the pictures.|0
die Seite (Text)|Lesen Sie die zweite Seite.|page (text)|Read the second page.|0
der Stuhl|Der Stuhl ist neu.|chair|The chair is new.|0
das Papier|Ich brauche das Papier.|paper|I need the paper.|0
die Lampe|Die Lampe ist hell.|lamp|The lamp is bright.|0
die CD|Ist das eine CD?|CD|Is that a CD?|0
das Foto|Das Foto ist schön.|photo|The photo is nice.|0
das Fenster|Das Fenster ist offen.|window|The window is open.|0
der Kugelschreiber|Ich habe einen Kugelschreiber.|ballpoint pen|I have a ballpoint pen.|0
das Buch|Das Buch ist interessant.|book|The book is interesting.|0
der Bleistift|Der Bleistift ist hier.|pencil|The pencil is here.|0
der Radiergummi|Der Radiergummi ist klein.|eraser|The eraser is small.|0
das Heft|Das Heft ist rot.|notebook / exercise book|The notebook is red.|0
der Tisch|Der Tisch ist groß.|table|The table is big.|0
das Auto|Das Auto steht vor dem Haus.|car|The car is in front of the house.|0
der Bus|Der Bus kommt gleich.|bus|The bus is coming soon.|0
der Hamburger|Ist das ein Hamburger?|hamburger|Is that a hamburger?|0
die Pizza (Pl.: Pizzen)|Wir bestellen eine Pizza.|pizza|We're ordering a pizza.|0
die Polizei|Rufen Sie die Polizei!|police|Call the police!|0
das WC|Das WC ist rechts.|toilet/restroom|The restroom is on the right.|0
wichtig|Die SMS ist wichtig.|important|The text message is important.|0
neu|Paola ist neu hier.|new|Paola is new here.|0
hier|Frau Kim ist hier in Frankfurt.|here|Ms. Kim is here in Frankfurt.|0
in|Ich arbeite in Wien.|in|I work in Vienna.|0
aus|Ich komme aus Graz.|from / out of|I come from Graz.|0
am|Wir treffen uns am Abend.|on/at (temporal ‘am')|We meet in the evening.|0
kein|Da ist kein Bus.|no / not any (masc./neut.)|There is no bus.|0
keine|Da ist keine Gitarre.|no / not any (fem./pl.)|There is no guitar.|0
ein|Das ist ein Tisch.|a / an (masc./neut.)|That is a table.|0
eine|Das ist eine Lampe.|a / an (fem.)|That is a lamp.|0
da|Da ist ein Bus.|there (nearby)|There is a bus.|0
dort|Dort ist das Museum.|there (over there)|The museum is over there.|0
ja|Ja, das ist richtig.|yes|Yes, that's correct.|0
nein|Nein, das ist falsch.|no|No, that's wrong.|0
deutsch|Ich lerne deutsch.|German (language)|I'm learning German.|0
international|Das Team ist international.|international|The team is international.|0
dann|Dann sprechen wir im Kurs.|then/after that|Then we'll speak in class.|0
Das Wort kenne ich nicht.|Das Wort kenne ich nicht.|I don't know the word.|I don't know the word.|0
